Entry	Gene names	Annotation	Mass
O75884	RBBP9 BOG RBBP10	5 out of 5	21,000
P0DJD4	RBMY1C	4 out of 5	55,784
P06400	RB1	5 out of 5	106,159
Q5JT25	RAB41	4 out of 5	25,038
P51149	RAB7A RAB7	5 out of 5	23,490
P53805	RCAN1 ADAPT78 CSP1 DSC1 DSCR1	5 out of 5	28,079
Q14257	RCN2 ERC55	5 out of 5	36,876
Q96D15	RCN3 UNQ239/PRO272	5 out of 5	37,493
Q8TAI7	RHEBL1	5 out of 5	20,682
B7ZAP0	RABGAP1L HHL KIAA0471	3 out of 5	29,038
Q96S21	RAB40C RARL RASL8C	5 out of 5	31,304
Q14206	RCAN2 DSCR1L1 ZAKI4	4 out of 5	21,997
Q96T37	RBM15 OTT OTT1	5 out of 5	107,189
Q6ZP01	RBM44	3 out of 5	117,985
Q16576	RBBP7 RBAP46	5 out of 5	47,820
Q8TBY0	RBM46	2 out of 5	60,023
C9J798	RASA4B	3 out of 5	90,406
Q96NR8	RDH12 SDR7C2	5 out of 5	35,094
Q8NBN7	RDH13 SDR7C3 PSEC0082 UNQ736/PRO1430	4 out of 5	35,932
Q96EV2	RBM33 PRR8	3 out of 5	129,986
Q5T6V5	C9orf64	2 out of 5	39,029
B2RC85	RSPH10B2	2 out of 5	100,547
Q8TDY2	RB1CC1 KIAA0203 RBICC	5 out of 5	183,091
Q9BWF3	RBM4 RBM4A	5 out of 5	40,314
P18754	RCC1 CHC1	5 out of 5	44,969
Q69383	ERVK-6 ERVK6	5 out of 5	11,828
P42696	RBM34 KIAA0117	3 out of 5	48,565
P0DJD3	RBMY1A1 RBM1 RBM2 YRRM1 YRRM2	5 out of 5	55,784
P22891	PROZ	5 out of 5	44,744
Q00577	PURA PUR1	5 out of 5	34,911
Q92626	PXDN KIAA0230 MG50 PRG2 VPO VPO1	5 out of 5	165,275
Q7RTV5	PRXL2C AAED1 C9orf21	3 out of 5	24,857
A6NJB7	PRR19	2 out of 5	38,716
A0A1B0GVH4	PRSS51	2 out of 5	25,576
O75360	PROP1	5 out of 5	24,984
P0CG20	PRR35 C16orf11	2 out of 5	59,354
Q9H6K5	PRR36	2 out of 5	132,748
Q7Z6L0	PRRT2	5 out of 5	34,945
P17980	PSMC3 TBP1	5 out of 5	49,204
Q6UWB4	PRSS55 TSP1 UNQ9391/PRO34284	4 out of 5	38,856
P27918	CFP PFC	5 out of 5	51,276
Q99946	PRRT1 C6orf31 NG5	3 out of 5	31,430
A0A1B0GWB2	PRRT1B IFITMD8	2 out of 5	26,769
Q9UKY0	PRND DPL UNQ1830/PRO3443	5 out of 5	20,293
Q96M27	PRRC1	3 out of 5	46,701
C9JH25	PRRT4	2 out of 5	92,712
O43490	PROM1 PROML1 MSTP061	5 out of 5	97,202
P35080	PFN2	5 out of 5	15,046
P0CW18	PRSS56	5 out of 5	64,597
A0A1B0GWK0	PVALEF	2 out of 5	15,275
Q9Y6I8	PXMP4 PMP24	4 out of 5	24,264
Q6UX71	PLXDC2 TEM7R UNQ2514/PRO6003	5 out of 5	59,583
Q5TGL8	PXDC1 C6orf145	2 out of 5	26,560
P17812	CTPS1 CTPS	5 out of 5	66,690
Q2L4Q9	PRSS53	3 out of 5	58,410
P0C7W0	PRR29 C17orf72	2 out of 5	20,715
P81277	PRLH PRH	4 out of 5	9,639
P62195	PSMC5 SUG1	5 out of 5	45,626
P11908	PRPS2	5 out of 5	34,769
A4D1T9	PRSS37 TRYX2	5 out of 5	26,445
P54821	PRRX1 PMX1	5 out of 5	27,296
Q9UJV8	PURG	4 out of 5	39,556
O75192	PEX11A PEX11	5 out of 5	28,353
Q8N0Z8	PUSL1	3 out of 5	33,233
P27708	CAD	5 out of 5	242,984
P0DMW2	NLRP2B CLRX.1 NLRP2P NOD24 POP4	5 out of 5	4,993
W6CW81	PYDC5 POP3	3 out of 5	12,732
Q9NRF8	CTPS2	4 out of 5	65,678
O95294	RASAL1 RASAL	5 out of 5	90,016
P57729	RAB38	5 out of 5	23,712
O60216	RAD21 HR21 KIAA0078 NXP1 SCC1	5 out of 5	71,690
Q86SE5	RALYL HNRPCL3	4 out of 5	32,331
Q8TD07	RAET1E LETAL N2DL4 ULBP4 UNQ1867/PRO4303	5 out of 5	30,122
P11234	RALB	5 out of 5	23,409
Q8NC74	RBBP8NL C20orf151	2 out of 5	71,432
P62834	RAP1A KREV1	5 out of 5	20,987
P62826	RAN ARA24 OK/SW-cl.81	5 out of 5	24,423
Q9UDW1	UQCR10 UCRC HSPC119	4 out of 5	7,308
Q6MZT1	RGS7BP R7BP	3 out of 5	28,962
Q8IY67	RAVER1 KIAA1978	4 out of 5	63,877
Q15283	RASA2 GAP1M RASGAP	5 out of 5	96,614
Q08257	CRYZ	5 out of 5	35,207
Q04671	OCA2 D15S12 P	5 out of 5	92,850
O00391	QSOX1 QSCN6 UNQ2520/PRO6013	5 out of 5	82,578
P11233	RALA RAL	5 out of 5	23,567
P51153	RAB13 GIG4	5 out of 5	22,774
P61006	RAB8A MEL RAB8	5 out of 5	23,668
Q15032	R3HDM1 KIAA0029 R3HDM	3 out of 5	120,696
Q6ZMN7	PDZRN4 LNX4 SEMCAP3L	3 out of 5	117,103
P63000	RAC1 TC25 MIG5	5 out of 5	21,450
Q969Q5	RAB24	5 out of 5	23,124
P10082	PYY	5 out of 5	11,145
P10826	RARB HAP NR1B2	5 out of 5	50,489
P61019	RAB2A RAB2	5 out of 5	23,546
Q9HCJ3	RAVER2 KIAA1579	3 out of 5	74,339
Q15771	RAB30	5 out of 5	23,058
Q6ZS82	RGS9BP R9AP	3 out of 5	25,148
P63244	RACK1 GNB2L1 HLC7 PIG21	5 out of 5	35,077
Q09MP3	RAD51AP2	3 out of 5	133,907
Q9UL26	RAB22A RAB22	5 out of 5	21,855
Q9UKM9	RALY HNRPCL2 P542	5 out of 5	32,463
P07919	UQCRH	5 out of 5	10,739
P61020	RAB5B	5 out of 5	23,707
Q13636	RAB31 RAB22B	5 out of 5	21,569
Q7Z444	ERAS HRAS2 HRASP	3 out of 5	25,287
Q9BUV8	RAB5IF C20orf24 PNAS-11	2 out of 5	15,487
P24386	CHM REP1 TCD	5 out of 5	73,476
P55895	RAG2	5 out of 5	59,241
Q15276	RABEP1 RAB5EP RABPT5 RABPT5A	5 out of 5	99,290
P78406	RAE1 MRNP41	5 out of 5	40,968
Q8IZ41	RASEF RAB45	5 out of 5	82,879
P51159	RAB27A RAB27	5 out of 5	24,868
Q9BZE2	PUS3 FKSG32	5 out of 5	55,647
Q15109	AGER RAGE	5 out of 5	42,803
Q53S08	RAB6D WTH3DI	3 out of 5	28,242
Q9H0U4	RAB1B	5 out of 5	22,171
Q9Y580	RBM7	5 out of 5	30,504
P01112	HRAS HRAS1	5 out of 5	21,298
Q15434	RBMS2 SCR3	3 out of 5	43,959
P13631	RARG NR1B3	5 out of 5	50,342
P49792	RANBP2 NUP358	5 out of 5	358,199
A6NK89	RASSF10	3 out of 5	56,900
O75943	RAD17 R24L	5 out of 5	77,055
Q9Y5P3	RAI2	3 out of 5	57,180
P01111	NRAS HRAS1	5 out of 5	21,229
Q86YS6	RAB43 RAB41	5 out of 5	23,339
Q8IUH3	RBM45 DRB1 DRBP1	5 out of 5	53,502
O75901	RASSF9 PAMCI PCIP1	4 out of 5	50,021
Q86YV0	RASAL3	5 out of 5	111,898
Q6ZTQ3	RASSF6	4 out of 5	43,384
Q9NXS2	QPCTL	5 out of 5	42,924
Q96IS3	RAX2 QRX RAXL1	5 out of 5	20,086
P52756	RBM5 H37 LUCA15	5 out of 5	92,154
P98179	RBM3 RNPL	5 out of 5	17,170
Q96P65	QRFPR GPR103	4 out of 5	49,488
P61578	ERVK-16	2 out of 5	11,808
P46063	RECQL RECQ1 RECQL1	5 out of 5	73,457
Q9H0H5	RACGAP1 KIAA1478 MGCRACGAP	5 out of 5	71,027
O76081	RGS20 RGSZ1 ZGAP1	5 out of 5	43,692
Q9H4X1	RGCC C13orf15 RGC32	5 out of 5	14,559
P57771	RGS8	5 out of 5	20,917
Q9NX52	RHBDL2	5 out of 5	34,021
Q02161	RHD	5 out of 5	45,211
Q15382	RHEB RHEB2	5 out of 5	20,497
Q96QB1	DLC1 ARHGAP7 KIAA1723 STARD12	5 out of 5	170,591
Q96CC6	RHBDF1 C16orf8 DIST1 IRHOM1	5 out of 5	97,401
Q9HBH0	RHOF ARHF RIF	5 out of 5	23,625
P27635	RPL10 DXS648E QM	5 out of 5	24,604
P61587	RND3 ARHE RHO8 RHOE	5 out of 5	27,368
P62913	RPL11	5 out of 5	20,252
Q9UBS8	RNF14 ARA54 HRIHFB2038	5 out of 5	53,837
Q5M7Z0	RNFT1 PTD016	5 out of 5	49,710
P50914	RPL14	5 out of 5	23,432
Q5VYX0	RNLS C10orf59	5 out of 5	37,847
Q9NRW1	RAB6B	5 out of 5	23,462
Q6ZRY4	RBPMS2	5 out of 5	22,497
Q7Z3Z2	RD3 C1orf36	4 out of 5	22,704
P61575	ERVK-8	2 out of 5	11,844
O95980	RECK ST15	5 out of 5	106,457
O14593	RFXANK ANKRA1 RFXB	5 out of 5	28,102
P48378	RFX2	5 out of 5	79,987
A5PLK6	RGSL1 RGSL RGSL2	3 out of 5	125,688
Q6NTF9	RHBDD2 RHBDL7	4 out of 5	39,202
Q7Z5H3	ARHGAP22 RHOGAP2	5 out of 5	76,779
Q96D21	RASD2 TEM2	5 out of 5	30,366
P18577	RHCE RHC RHE	5 out of 5	45,560
Q9NRY4	ARHGAP35 GRF1 GRLF1 KIAA1722 P190A p190ARHOGAP	5 out of 5	170,514
Q9NV58	RNF19A RNF19	5 out of 5	90,696
Q495C1	RNF212	5 out of 5	33,365
Q63HN8	RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR	5 out of 5	591,407
Q8ND24	RNF214	2 out of 5	77,667
Q9Y6U7	RNF215	3 out of 5	41,101
Q9NWF9	RNF216 TRIAD3 UBCE7IP1 ZIN	5 out of 5	99,406
Q8TC41	RNF217 C6orf172 IBRDC1	5 out of 5	59,372
Q5W0B1	RNF219 C13orf7	2 out of 5	81,116
Q5VTB9	RNF220 C1orf164	5 out of 5	62,765
A6NCQ9	RNF222	2 out of 5	23,767
E7ERA6	RNF223	2 out of 5	26,629
P0DH78	RNF224	1 out of 5	16,549
M0QZC1	RNF225	2 out of 5	34,789
A6NIN4	RNF227 LINC02581	2 out of 5	21,006
Q2M238	RRN3P1	2 out of 5	17,255
A6NIE6	RRN3P2	1 out of 5	38,035
Q05823	RNASEL RNS4	5 out of 5	83,533
P07998	RNASE1 RIB1 RNS1	5 out of 5	17,644
P10153	RNASE2 EDN RNS2	5 out of 5	18,354
Q8TDE3	RNASE8	4 out of 5	17,041
Q96L21	RPL10L	4 out of 5	24,519
P40429	RPL13A	5 out of 5	23,577
P30050	RPL12	5 out of 5	17,819
P61313	RPL15 EC45 TCBAP0781	5 out of 5	24,146
Q6P5S7	RNASEK	3 out of 5	15,420
P18621	RPL17	5 out of 5	21,397
Q9H5N1	RABEP2 RABPT5B	5 out of 5	63,543
Q86WH2	RASSF3	4 out of 5	27,562
P10276	RARA NR1B1	5 out of 5	50,771
Q5JQD4	PYY3	2 out of 5	7,832
P14927	UQCRB UQBP	5 out of 5	13,530
Q5R372	RABGAP1L HHL KIAA0471	5 out of 5	92,513
Q96S59	RANBP9 RANBPM	5 out of 5	77,847
Q09028	RBBP4 RBAP48	5 out of 5	47,656
Q9H0N0	RAB6C WTH3	5 out of 5	28,355
P20337	RAB3B	5 out of 5	24,758
P26374	CHML REP2	5 out of 5	74,071
Q99638	RAD9A	5 out of 5	42,547
Q99969	RARRES2 TIG2	5 out of 5	18,618
Q9NP90	RAB9B RAB9L	5 out of 5	22,719
Q9Y272	RASD1 AGS1 DEXRAS1	5 out of 5	31,642
A4D1S5	RAB19 RAB19B	3 out of 5	24,400
O14807	MRAS RRAS3	5 out of 5	23,846
P60763	RAC3	5 out of 5	21,379
Q6WBX8	RAD9B	4 out of 5	47,832
P78332	RBM6 DEF3	5 out of 5	128,644
Q15042	RAB3GAP1 KIAA0066 RAB3GAP	5 out of 5	110,524
Q9P258	RCC2 KIAA1470 TD60	5 out of 5	56,085
Q9Y4C8	RBM19 KIAA0682	5 out of 5	107,332
O60894	RAMP1	5 out of 5	16,988
Q9Y3L5	RAP2C	5 out of 5	20,745
Q14498	RBM39 HCC1 RNPC2	5 out of 5	59,380
P61026	RAB10	5 out of 5	22,541
Q6IQ22	RAB12	5 out of 5	27,248
Q8NHQ8	RASSF8 C12orf2	3 out of 5	48,327
Q8IZP6	RNF113B RNF161 ZNF183L1	2 out of 5	36,259
P38159	RBMX HNRPG RBMXP1	5 out of 5	42,332
P49756	RBM25 RNPC7	5 out of 5	100,185
P0C881	RSPH10B	1 out of 5	100,635
Q96DA2	RAB39B	5 out of 5	24,622
Q6VN20	RANBP10 KIAA1464	5 out of 5	67,257
Q9HBH5	RDH14 PAN2 SDR7C4 UNQ529/PRO1072	4 out of 5	36,865
P35241	RDX	5 out of 5	68,564
Q15291	RBBP5 RBQ3	5 out of 5	59,153
Q15311	RALBP1 RLIP1 RLIP76	5 out of 5	76,063
A6NED2	RCCD1	4 out of 5	40,079
Q8WWW0	RASSF5 NORE1 RAPL	5 out of 5	47,090
P62491	RAB11A RAB11	5 out of 5	24,394
Q92804	TAF15 RBP56 TAF2N	5 out of 5	61,830
Q6XE24	RBMS3	5 out of 5	47,840
Q9UBG7	RBPJL RBPL RBPSUHL	4 out of 5	56,751
Q8WXH6	RAB40A	3 out of 5	31,076
Q9UKA8	RCAN3 DSCR1L2	5 out of 5	27,492
Q32P51	HNRNPA1L2 HNRNPA1L	3 out of 5	34,225
P57052	RBM11	5 out of 5	32,179
P46060	RANGAP1 KIAA1835 SD	5 out of 5	63,542
Q9Y388	RBMX2 CGI-79	3 out of 5	37,336
Q7Z6M1	RABEPK RAB9P40	5 out of 5	40,565
Q9H2T7	RANBP17	4 out of 5	124,375
P85298	ARHGAP8	4 out of 5	53,484
Q9BRR9	ARHGAP9	5 out of 5	83,260
Q7Z7H8	MRPL10 MRPL8 RPML8	5 out of 5	29,283
Q96A35	MRPL24	4 out of 5	24,915
Q6ZS11	RINL	3 out of 5	62,466
Q13671	RIN1	5 out of 5	84,099
Q13084	MRPL28 MAAT1	5 out of 5	30,157
Q06587	RING1 RNF1	5 out of 5	42,429
Q6ZS17	RIPOR1 FAM65A KIAA1930	5 out of 5	132,308
Q9Y4F9	RIPOR2 C6orf32 DIFF48 FAM65B KIAA0386 PL48	5 out of 5	118,519
Q96EL3	MRPL53	4 out of 5	12,107
P31350	RRM2 RR2	5 out of 5	44,878
Q96DM3	RMC1 C18orf8 MIC1 WDR98	4 out of 5	74,975
Q96DB5	RMDN1 FAM82B CGI-90	4 out of 5	35,808
Q96LZ7	RMDN2 FAM82A FAM82A1 BLOCK18 UNQ9371/PRO34163	5 out of 5	47,399
Q9H9A7	RMI1 C9orf76	5 out of 5	70,144
Q8N7X1	RBMXL3 CXorf55	2 out of 5	114,938
Q9Y4L5	RNF115 ZNF364	5 out of 5	33,703
Q9H920	RNF121	3 out of 5	37,882
Q9H9V4	RNF122	3 out of 5	17,475
Q5XPI4	RNF123 KPC1 FP1477	5 out of 5	148,515
Q96EQ8	RNF125	5 out of 5	26,454
Q9BV68	RNF126	5 out of 5	35,585
Q8WU17	RNF139 TRC8	5 out of 5	75,994
Q8WVD5	RNF141 ZNF230	4 out of 5	25,535
Q96MT1	RNF145	4 out of 5	75,617
Q9NTX7	RNF146	5 out of 5	38,950
Q9HB40	SCPEP1 RISC SCP1 MSTP034 UNQ265/PRO302	4 out of 5	50,831
Q92963	RIT1 RIBB RIT ROC1	5 out of 5	25,145
Q99578	RIT2 RIN ROC2	5 out of 5	24,668
Q9ULK6	RNF150 KIAA1214	4 out of 5	48,072
Q2KHN1	RNF151	3 out of 5	27,412
Q96K30	RITA1 C12orf52 RITA PSEC0043	5 out of 5	28,619
Q96A37	RNF166	2 out of 5	26,122
Q8NCN4	RNF169 KIAA1991	5 out of 5	77,194
Q96K19	RNF170	5 out of 5	29,815
Q8N4F7	RNF175	3 out of 5	38,266
Q9P0P0	RNF181 HSPC238	5 out of 5	17,909
Q8N6D2	RNF182	5 out of 5	27,402
Q96GF1	RNF185	5 out of 5	20,459
Q6ZMZ0	RNF19B IBRDC3 NKLAM	5 out of 5	77,925
Q92730	RND1 RHO6	5 out of 5	26,056
Q8N5U6	RNF10 KIAA0262 RIE2	5 out of 5	89,927
Q96EP0	RNF31 ZIBRA	5 out of 5	119,652
Q9H0A6	RNF32 FKSG33 HSD15	4 out of 5	41,516
Q96EX2	RNFT2 TMEM118	3 out of 5	48,965
Q15286	RAB35 RAB1C RAY	5 out of 5	23,025
Q9ULW5	RAB26	5 out of 5	27,900
P20339	RAB5A RAB5	5 out of 5	23,659
P15918	RAG1 RNF74	5 out of 5	119,097
Q3YEC7	RABL6 C9orf86 PARF	5 out of 5	79,549
Q8IXT5	RBM12B	2 out of 5	118,103
Q14644	RASA3	5 out of 5	95,699
Q8TBN0	RAB3IL1	5 out of 5	42,637
Q9BZG1	RAB34 RAB39 RAH	5 out of 5	29,044
O43502	RAD51C RAD51L2	5 out of 5	42,190
Q9NRI6	PYY2	2 out of 5	3,432
O75771	RAD51D RAD51L3	5 out of 5	35,049
Q9ULC3	RAB23 HSPC137	5 out of 5	26,659
A0A096LP55	UQCRHL	2 out of 5	10,752
Q9BTL3	RAMAC C15orf18 FAM103A1 RAMMET	5 out of 5	14,381
O60895	RAMP2	5 out of 5	19,608
Q9NYN1	RASL12 RIS	3 out of 5	29,662
Q9NTZ6	RBM12 KIAA0765 HRIHFB2091	4 out of 5	97,395
P20338	RAB4A RAB4	5 out of 5	24,390
P10114	RAP2A	5 out of 5	20,615
A6NC62	RBAKDN	1 out of 5	12,297
Q9BX46	RBM24 RNPC6	5 out of 5	24,776
O95825	CRYZL1 4P11	3 out of 5	38,697
P43487	RANBP1	5 out of 5	23,310
Q8NFJ5	GPRC5A GPCR5A RAI3 RAIG1	5 out of 5	40,251
Q9BQ04	RBM4B RBM30	5 out of 5	40,150
Q9NS23	RASSF1 RDA32	5 out of 5	39,219
P43351	RAD52	5 out of 5	46,169
O00194	RAB27B	5 out of 5	24,608
Q14088	RAB33A RABS10	4 out of 5	26,593
P61018	RAB4B PP1596	5 out of 5	23,587
Q8N3Y7	SDR16C5 RDHE2	5 out of 5	34,095
Q96JH8	RADIL KIAA1849	5 out of 5	117,455
P51148	RAB5C RABL	5 out of 5	23,483
Q02833	RASSF7 C11orf13 HRC1	5 out of 5	39,945
P98175	RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122	5 out of 5	103,533
Q9P1G2	RBM12B-AS1 C8orf39 PRO1905	1 out of 5	11,378
Q92698	RAD54L RAD54A	5 out of 5	84,352
Q9NS91	RAD18 RNF73	5 out of 5	56,223
Q9NP72	RAB18	5 out of 5	22,977
Q9UJ41	RABGEF1 RABEX5	5 out of 5	79,371
Q9UBK7	RABL2A	3 out of 5	26,115
Q96H35	RBM18	2 out of 5	21,649
O15541	RNF113A RNF113 ZNF183	5 out of 5	38,787
Q7Z6E9	RBBP6 P2PR PACT RBQ1 My038	5 out of 5	201,564
P28749	RBL1	5 out of 5	120,847
P20936	RASA1 GAP RASA	5 out of 5	116,403
O75452	RDH16 RODH4 SDR9C8	5 out of 5	35,673
Q9HBD1	RC3H2 MNAB RNF164	5 out of 5	131,669
P48382	RFX5	5 out of 5	65,323
O14827	RASGRF2 GRF2	5 out of 5	140,764
Q9UNA1	ARHGAP26 GRAF KIAA0621 OPHN1L	5 out of 5	92,235
O43182	ARHGAP6 RHOGAP6	5 out of 5	105,947
O14559	ARHGAP33 SNX26 TCGAP	5 out of 5	137,213
Q15669	RHOH ARHH TTF	5 out of 5	21,331
Q9H4E5	RHOJ ARHJ RASL7B RHOI TCL	5 out of 5	23,821
Q96L33	RHOV ARHV WRCH2	5 out of 5	26,217
Q9ULI2	RIMKLB FAM80B KIAA1238	5 out of 5	42,464
Q9NRR4	DROSHA RN3 RNASE3L RNASEN	5 out of 5	159,316
O43567	RNF13 RZF	5 out of 5	42,814
Q96BH1	RNF25	5 out of 5	51,219
Q9BY78	RNF26	5 out of 5	47,737
P26373	RPL13 BBC1 OK/SW-cl.46	5 out of 5	24,261
P84098	RPL19	5 out of 5	23,466
O76021	RSL1D1 CATX11 CSIG PBK1 L12	5 out of 5	54,973
Q2M1Z3	ARHGAP31 CDGAP KIAA1204	5 out of 5	156,985
O00212	RHOD ARHD	5 out of 5	23,413
Q53QZ3	ARHGAP15 BM-024 BM-030 BM-046	4 out of 5	54,544
Q5UIP0	RIF1	5 out of 5	274,466
A6NNM3	RIMBP3B	3 out of 5	180,952
Q9NWU5	MRPL22 MRPL25 RPML25 HSPC158	5 out of 5	23,641
Q99496	RNF2 BAP1 DING HIPI3 RING1B	5 out of 5	37,655
Q9UJD0	RIMS3 KIAA0237	4 out of 5	32,796
Q9H426	RIMS4 C20orf190	4 out of 5	29,329
Q9P0M9	MRPL27 HSPC250	4 out of 5	16,073
Q6NUQ1	RINT1	5 out of 5	90,632
Q9BRS2	RIOK1 RIO1	5 out of 5	65,583
O75394	MRPL33 C2orf1	4 out of 5	7,619
Q9BQ48	MRPL34	4 out of 5	10,165
Q9H6W3	RIOX1 C14orf169 MAPJD NO66	5 out of 5	71,086
Q8IUF8	RIOX2 MDIG MINA MINA53 NO52	5 out of 5	52,800
Q9BZE1	MRPL37 MRPL2 RPML2 HSPC235	5 out of 5	48,117
Q9BRJ2	MRPL45	4 out of 5	35,351
Q9H2W6	MRPL46 C15orf4 LIECG2	5 out of 5	31,705
Q9HD33	MRPL47 NCM1 CGI-204	5 out of 5	29,450
Q96GC5	MRPL48 CGI-118 HSPC290	5 out of 5	23,935
Q13405	MRPL49 C11orf4 NOF1 OK/SW-cl.67	4 out of 5	19,198
Q8N5N7	MRPL50	4 out of 5	18,325
Q4U2R6	MRPL51 MRP64 CDA09 HSPC241	4 out of 5	15,095
Q86TS9	MRPL52	5 out of 5	13,664
Q86UA6	RPAIN RIP	5 out of 5	24,770
Q7Z7F7	MRPL55 UNQ5835/PRO19675	4 out of 5	15,128
Q5EBL4	RILPL1 RLP1	5 out of 5	47,108
Q0D2K3	RIPPLY1	4 out of 5	16,379
Q5TAB7	RIPPLY2 C6orf159	4 out of 5	13,906
Q7LG56	RRM2B P53R2	5 out of 5	40,737
P23921	RRM1 RR1	5 out of 5	90,070
Q9H1E1	RNASE7 UNQ2516/PRO6006	5 out of 5	17,419
Q15835	GRK1 RHOK	5 out of 5	63,526
P62906	RPL10A NEDD6	5 out of 5	24,831
P52198	RND2 ARHN RHO7	5 out of 5	25,369
Q9Y3C5	RNF11 CGI-123	5 out of 5	17,444
Q9NVW2	RLIM RNF12	5 out of 5	68,549
Q9BXT8	RNF17 TDRD4	5 out of 5	184,643
Q9Y225	RNF24	4 out of 5	17,210
Q9BXB4	OSBPL11 ORP11 OSBP12	5 out of 5	83,643
P39656	DDOST KIAA0115 OST48 OK/SW-cl.45	5 out of 5	50,801
Q5VV17	OTUD1 DUBA7 OTDC1	4 out of 5	51,063
Q9H4L5	OSBPL3 KIAA0704 ORP3 OSBP3	5 out of 5	101,224
Q96BN8	OTULIN FAM105B	5 out of 5	40,263
Q99572	P2RX7	5 out of 5	68,585
O95747	OXSR1 KIAA1101 OSR1	5 out of 5	58,022
Q8IVL5	P3H2 LEPREL1 MLAT4	5 out of 5	80,984
P68402	PAFAH1B2 PAFAHB	5 out of 5	25,569
Q15102	PAFAH1B3 PAFAHG	5 out of 5	25,734
Q9BY11	PACSIN1 KIAA1379	5 out of 5	50,966
Q8NDF8	TENT4B GLD4 PAPD5 TRF4-2	5 out of 5	63,267
Q5XG87	TENT4A PAPD7 POLS TRF4	5 out of 5	82,360
P51003	PAPOLA PAP	5 out of 5	82,843
Q9BWT3	PAPOLG PAP2 PAPG	5 out of 5	82,803
Q5QFB9	PAPPA-AS1 DIPAS PAPPAS	3 out of 5	12,196
Q9BYG5	PARD6B PAR6B	5 out of 5	41,182
Q53GL7	PARP10	5 out of 5	109,998
Q9H0J9	PARP12 ZC3HDC1	3 out of 5	79,064
Q460N3	PARP15 BAL3	5 out of 5	74,576
Q8N5Y8	PARP16 ARTD15 C15orf30	5 out of 5	36,383
Q9NWS1	PARPBP C12orf48 PARI	5 out of 5	65,054
P55085	F2RL1 GPR11 PAR2	5 out of 5	44,126
Q6UY27	PATE2 C11orf38 UNQ3112/PRO10144	3 out of 5	13,015
Q6UWI2	PARM1 UNQ1879/PRO4322	5 out of 5	32,289
Q8IV76	PASD1	5 out of 5	87,428
C9JE40	PATL2	5 out of 5	61,464
Q9Y5B6	PAXBP1 C21orf66 GCFC GCFC1	5 out of 5	104,804
Q6ZW49	PAXIP1 PAXIP1L PTIP CAGF28	5 out of 5	121,341
P23759	PAX7 HUP1	5 out of 5	55,119
Q86U86	PBRM1 BAF180 PB1	5 out of 5	192,948
Q96AQ6	PBXIP1 HPIP	5 out of 5	80,643
Q7L5N7	LPCAT2 AGPAT11 AYTL1	5 out of 5	60,208
P05166	PCCB	5 out of 5	58,216
