GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O00408	PDE2A	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000318	IBA	PMID:21873635	MGI:MGI:2446107|PANTHER:PTN000886790|RGD:620965|UniProtKB:O00408	9606	GO_Central		C
UniProtKB	O00408	PDE2A	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:28463107		9606	UniProt		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163214		9606	Reactome		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005751	mitochondrial respiratory chain complex IV	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62425|ensembl:ENSMUSP00000144932	9606	Ensembl		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005751	mitochondrial respiratory chain complex IV	ECO:0000318	IBA	PMID:21873635	MGI:MGI:107686|PANTHER:PTN001023184|UniProtKB:O00483	9606	GO_Central		C
UniProtKB	O00483	NDUFA4	part_of	GO:0005751	mitochondrial respiratory chain complex IV	ECO:0000314	IDA	PMID:22902835		9606	UniProt		C
UniProtKB	O00746	NME4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-482804		9606	Reactome		C
UniProtKB	O00746	NME4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-482812		9606	Reactome		C
UniProtKB	O14521	SDHD	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A5GZW8	9606	UniProt		C
UniProtKB	O14521	SDHD	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O14521	SDHD	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O14521	SDHD	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:9533030		9606	UniProt		C
UniProtKB	O14521	SDHD	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-70994		9606	Reactome		C
UniProtKB	O14521	SDHD	part_of	GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A5GZW8	9606	UniProt		C
UniProtKB	O14521	SDHD	part_of	GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN001000243|SGD:S000004154|UniProtKB:A5GZW8	9606	GO_Central		C
UniProtKB	O14548	COX7A2L	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O14548	COX7A2L	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O14548	COX7A2L	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163214		9606	Reactome		C
UniProtKB	O14548	COX7A2L	part_of	GO:0005746	mitochondrial respirasome	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003177	9606	InterPro		C
UniProtKB	O14548	COX7A2L	part_of	GO:0005746	mitochondrial respirasome	ECO:0000318	IBA	PMID:21873635	MGI:MGI:106015|PANTHER:PTN000828143	9606	GO_Central		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163217		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6793590		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799178		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799179		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799191		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799196		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799197		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799202		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-8933547		9606	Reactome		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P52505	9606	UniProt		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:27626371		9606	UniProt		C
UniProtKB	O14561	NDUFAB1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O14925	TIMM23	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O14925	TIMM23	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O14925	TIMM23	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	PMID:14726512		9606	BHF-UCL		C
UniProtKB	O14925	TIMM23	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:20053669		9606	GO_Central		C
UniProtKB	O14925	TIMM23	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:25997101		9606	UniProt		C
UniProtKB	O14925	TIMM23	part_of	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005681	9606	InterPro		C
UniProtKB	O14925	TIMM23	part_of	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	ECO:0000314	IDA	PMID:10339406		9606	BHF-UCL		C
UniProtKB	O14925	TIMM23	part_of	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000394914|SGD:S000005300|UniProtKB:O14925	9606	GO_Central		C
UniProtKB	O14925	TIMM23	part_of	GO:0031305	integral component of mitochondrial inner membrane	ECO:0000314	IDA	PMID:10339406		9606	BHF-UCL		C
UniProtKB	O14925	TIMM23	part_of	GO:0031305	integral component of mitochondrial inner membrane	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000394914|UniProtKB:O14925	9606	GO_Central		C
UniProtKB	O14949	UQCRQ	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O14949	UQCRQ	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O14949	UQCRQ	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-164651		9606	Reactome		C
UniProtKB	O14949	UQCRQ	part_of	GO:0005750	mitochondrial respiratory chain complex III	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000950370|SGD:S000003702	9606	GO_Central		C
UniProtKB	O14957	UQCR11	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O14957	UQCR11	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O14957	UQCR11	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-164651		9606	Reactome		C
UniProtKB	O15235	MRPS12	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-5419261		9606	Reactome		C
UniProtKB	O15235	MRPS12	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-5419264		9606	Reactome		C
UniProtKB	O15235	MRPS12	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-5419271		9606	Reactome		C
UniProtKB	O15235	MRPS12	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-5419273		9606	Reactome		C
UniProtKB	O15235	MRPS12	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-5419277		9606	Reactome		C
UniProtKB	O15235	MRPS12	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-5419281		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163217		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799178		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799179		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799191		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799196		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799197		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799202		9606	Reactome		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:17209039		9606	UniProt		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:27626371		9606	UniProt		C
UniProtKB	O15239	NDUFA1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163217		9606	Reactome		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799179		9606	Reactome		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799196		9606	Reactome		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6800870		9606	Reactome		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000315	IMP	PMID:11112787		9606	UniProt		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000315	IMP	PMID:16478720		9606	UniProt		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1343135|PANTHER:PTN000259406|UniProtKB:O43181|UniProtKB:Q02375	9606	GO_Central		C
UniProtKB	O43181	NDUFS4	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:27626371		9606	UniProt		C
UniProtKB	O43272	PRODH	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-70670		9606	Reactome		C
UniProtKB	O43615	TIMM44	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43615	TIMM44	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43615	TIMM44	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:10339406		9606	BHF-UCL		C
UniProtKB	O43615	TIMM44	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:20053669		9606	GO_Central		C
UniProtKB	O43615	TIMM44	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000076497|RGD:3864|TAIR:locus:2039195|UniProtKB:O43615	9606	GO_Central		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163217		9606	Reactome		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799178		9606	Reactome		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799179		9606	Reactome		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799191		9606	Reactome		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799196		9606	Reactome		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799197		9606	Reactome		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799202		9606	Reactome		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:27626371		9606	UniProt		C
UniProtKB	O43674	NDUFB5	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163217		9606	Reactome		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799178		9606	Reactome		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799179		9606	Reactome		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799191		9606	Reactome		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799196		9606	Reactome		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799197		9606	Reactome		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799202		9606	Reactome		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012576	9606	InterPro		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN001031099|TAIR:locus:2065243|UniProtKB:O43676|UniProtKB:Q02365	9606	GO_Central		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:27626371		9606	UniProt		C
UniProtKB	O43676	NDUFB3	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163217		9606	Reactome		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799178		9606	Reactome		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799179		9606	Reactome		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799191		9606	Reactome		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799196		9606	Reactome		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799197		9606	Reactome		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799202		9606	Reactome		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026192	9606	InterPro		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:27626371		9606	UniProt		C
UniProtKB	O43677	NDUFC1	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-163217		9606	Reactome		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799178		9606	Reactome		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799179		9606	Reactome		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799191		9606	Reactome		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799196		9606	Reactome		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799197		9606	Reactome		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-6799202		9606	Reactome		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:17209039		9606	UniProt		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000306062|TAIR:locus:2160882|UniProtKB:O43678|UniProtKB:Q02370	9606	GO_Central		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:27626371		9606	UniProt		C
UniProtKB	O43678	NDUFA2	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O43772	SLC25A20	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43772	SLC25A20	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43772	SLC25A20	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000304	TAS	Reactome:R-HSA-200424		9606	Reactome		C
UniProtKB	O43819	SCO2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017276	9606	InterPro		C
UniProtKB	O43819	SCO2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O43819	SCO2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	O43819	SCO2	part_of	GO:0031305	integral component of mitochondrial inner membrane	ECO:0000314	IDA	PMID:15229189		9606	UniProt		C
